,date,id,content,username
0,2022-03-05 17:48:40+00:00,1500166417211142148,"There's no Sunday like a Phaneroo Sunday!

You are invited into this love ❤️. 
#PhanerooKuGround 
#PhanerooSundayService https://t.co/TKWKpa1hns",jesswanjohi
1,2022-03-05 17:01:56+00:00,1500154656428810254,#phanerookuground https://t.co/TicNB4K9n7,BrianTumusiime
2,2022-03-05 10:11:40+00:00,1500051410980904961,There's a Thursday you just go to #PhanerooKuGround with  high expectations. You come back repenting about how low your expectations were. https://t.co/p8EGAVHzMv,preachyajuna
3,2022-03-05 09:23:13+00:00,1500039216151072768,"If you know, you know😁

https://t.co/ggsFt55zY0

@ManifestUganda and @Phanerookampala 

#BelieveWithYourHeart
#phanerookuground https://t.co/Pt893uBFMO",JoanLADY7
4,2022-03-05 09:18:51+00:00,1500038118715576323,"Clink on the link onyumilwe☺️
https://t.co/ggsFt55zY0

#BelieveWithYourHeart
#phanerookuground https://t.co/qUWFe3TC4c",JoanLADY7
5,2022-03-04 22:06:25+00:00,1499868896047808523,"How those that did Biology and Chemistry are looking for Miss Havisham in the Bible. 😂😂😂

Charles Dickens hid this yoke in his novel 'Great expectations'  and carol ann duffy poem 
#PhanerooKuGround moments https://t.co/HpLMR7IzyQ",KhanDuncan1
6,2022-03-04 17:18:31+00:00,1499796444642959364,"Thursday, the only day I am outside knowing it's a #PhanerooKuGround https://t.co/iwAKnELzOc",Hopemoureen
7,2022-03-04 16:11:55+00:00,1499779682694270977,"I will add
""go argue with yourself""

#PhanerooKuGround https://t.co/oSHZoFzSFp",jesswanjohi
8,2022-03-04 11:25:50+00:00,1499707687340290052,"Ebyo bi start working out and reduce on the food you eat or else you are going to die of pressure bigambe abalala
As for me I only submit to what the Lord says thank you
#PhanerooKuGround https://t.co/JTCGO8DbYv",LuckyKirabo
9,2022-03-04 10:56:18+00:00,1499700254249299968,"Listen carefully, I am about to do a new thing, now it will spring forth; Will you not be aware of it? I will even put a road in the wilderness, rivers in the desert.(Isaiah 43:19 AMP)

https://t.co/wBVJ44nJMh

#Intercession 
#PhanerooKuGround 
#LiveNow",elliea49
10,2022-03-04 06:58:39+00:00,1499640450264748035,"Father, Your Word is true and we know that because we have believed we shall not be put to shame. 

As our hearts are established and rooted in your Word we see the things for which we have believed come to pass. In Jesus' Name, Amen.

https://t.co/6iTGOH3m2H

#PhanerooKuGround https://t.co/VhLKyve8Ja",lauragift24
11,2022-03-04 06:28:03+00:00,1499632746158821381,"Assignment was so easy
#BelieveWithYourHeart
#PhanerooKuGround 🤗❤️ https://t.co/GcLL4Q4coy",Piusmatanda
12,2022-03-04 06:11:08+00:00,1499628492270542852,"So, yesterday morning saw me promise me how I will not stand or shout during #PhanerooKuGround service. Only to hehehe.....😂😂😂 ahaaa........🙈🙈",alimugonza_r
13,2022-03-04 05:47:32+00:00,1499622550313353216,"@KhanDuncan1 @cherieamong @Arnold_nation @AmootiKB @GWithdefinition @abelmukisa @IamJothamK @AnnMbatha13 @Able_Matthew1 Bwekiri...

#PhanerooKuGround",KingTrisha89
14,2022-03-04 05:47:11+00:00,1499622463847735297,"No man, when he hath lighted a candle, putteth it in a secret place, neither under a bushel, but on a candlestick, that they which come in may see the light.
Luke 11:33
#PhanerooKuGround",BrendaOfLove2
15,2022-03-04 04:22:33+00:00,1499601164802969602,"Good morning 🌄 humble souls...

Hope you had sweet sleep.

#PhanerooKuGround",DzimboT
